Kategorie;Code;Leistung;Punkte (typisch);Einheit;Schwierigkeit Lehrende/r A (1-3);Schwierigkeit Lehrende/r B (1-3);Schwierigkeit Lehrende/r C (1-3);KONSENS Schwierigkeit (1-3);Zeitbedarf Lehrende/r A (min);Zeitbedarf Lehrende/r B (min);Zeitbedarf Lehrende/r C (min);KONSENS Zeitbedarf (min);Demo-Platzhalter Schwierigkeit;Demo-Platzhalter Zeit (min);Bemerkung
Prothetik;proth_totalprothese;Totalprothese je Kiefer;20;Kiefer;;;;;;;;;3;900;
Prothetik;proth_teilprothese;Teilprothese Doppelkrone;20;Prothese;;;;;;;;;3;900;
Prothetik;proth_teleskop;pro Teleskop;10;Teleskop;;;;;;;;;3;450;
Prothetik;proth_modellguss;Klammermodellgussprothese (Ersatz ≥1 Stützzone);15;Prothese;;;;;;;;;2;675;
Prothetik;proth_interims;Interimsprothese (Ersatz ≥1 Stützzone);10;Prothese;;;;;;;;;2;450;
Prothetik;proth_unterfuett;Unterfütterung;5;Vorgang;;;;;;;;;1;225;
Prothetik;proth_remontage;Remontage;5;Vorgang;;;;;;;;;1;225;
Prothetik;proth_recall;Recall;2;Sitzung;;;;;;;;;1;90;
Prothetik;proth_aufbiss;Aufbissbehelf (inkl. FAL und Zentrikregistrat);7;Behelf;;;;;;;;;2;315;
Schnittmenge Restauration/Prothetik;schnitt_inlay;Inlay oder Teilkrone (inkl. Stumpfaufbau);12;Stück;;;;;;;;;3;540;
Schnittmenge Restauration/Prothetik;schnitt_reparatur;Kariesbedingte Reparatur Kronenrand;3;Reparatur;;;;;;;;;1;135;
Schnittmenge Restauration/Prothetik;schnitt_stumpfaufbau;adhäsiver Stumpfaufbau;3;Aufbau;;;;;;;;;2;135;
Schnittmenge Restauration/Prothetik;schnitt_stiftaufbau;Stiftaufbau;3;Aufbau;;;;;;;;;2;135;
Chirurgie/Implantologie;chir_msh;Systematische Untersuchung der Mundschleimhaut (MSH);1;Untersuchung;;;;;;;;;1;45;
Chirurgie/Implantologie;chir_dvt;Planung oralchir. Eingriffe / Indikationsstellung DVT;1;Planung;;;;;;;;;1;45;
Chirurgie/Implantologie;chir_impl_beratung;Implantat-prothetische Beratung;1;Beratung;;;;;;;;;1;45;
Chirurgie/Implantologie;chir_impl_nachsorge;Implantatnachsorge;1;Sitzung;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_erstgespraech;Erstaufnahmegespräch / KIG-Klassifizierung;1;Gespräch;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_anamnese;KFO-Anamnese, Aufklärung, Epikrise;1;Vorgang;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_abformung;Abformung OK/UK, Scan, Registrat, Zielbiss;1;Vorgang;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_modell;Modellherstellung (analog und digital);1;Modell;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_3d;3D-Modellanalyse;1;Analyse;;;;;;;;;2;45;
Kieferorthopädie (KFO);kfo_foto;Foto/Gesichtsscan mit Auswertung;1;Auswertung;;;;;;;;;1;45;
Kieferorthopädie (KFO);kfo_roentgen;Rö, Befund OPG und FRS;1;Befund;;;;;;;;;2;45;
Kieferorthopädie (KFO);kfo_plan;KFO-Behandlungsplan;1;Plan;;;;;;;;;2;45;
Kieferorthopädie (KFO);kfo_konstruktion;Konstruktionszeichnung Gerät / ClinCheck;1;Zeichnung;;;;;;;;;2;45;
Kieferorthopädie (KFO);kfo_kontrolle;Kontrollsitzung;0.5;Sitzung;;;;;;;;;1;22;
